line,gene,is_ATP_gene
Line 3,lpxp,False
Line 3,malq,False
Line 3,melr,False
Line 3,mfs transporter,False
Line 3,mrda,False
Line 3,murp,False
Line 3,narw,False
Line 3,otsa,False
Line 3,otsa,False
Line 3,phage baseplate assembly protein v,False
Line 3,pncb,True
Line 3,ppx,False
Line 3,purl,True
Line 3,puup,False
Line 3,pykf,True
Line 3,ribf,True
Line 3,rsxd,False
Line 3,sula,False
Line 3,tcyp,False
Line 3,trmd,False
Line 3,tsx,False
Line 3,wgr and duf4132 domain-containing protein,False
Line 3,yebc/pmpr family dna-binding transcriptional regulator,False
Line 3,yebt,False
Line 3,yeca,False
Line 3,yeej,False
Line 3,ymdb,False
Line 3,zinc-binding dehydrogenase,False
Line 3,nadr,True
Line 4,dmt family transporter,False
Line 4,yeag,True
Line 4,cynt,False
Line 4,bcsq,False
Line 4,rlpa,False
Line 4,tdcc,False
Line 4,hyfr,False
Line 4,ggdef domain-containing protein,False
Line 4,deor/glpr transcriptional regulator,False
Line 4,glta,False
Line 4,meth,False
Line 4,potf,False
Line 4,holc,False
Line 4,prpb,False
Line 4,ychf,True
Line 4,mhpr,False
Line 4,hypothetical protein,False
Line 4,odhb,False
Line 4,rect,False
Line 4,abc-f family atpase,False
Line 4,mcrb,False
Line 4,patatin family protein,False
Line 4,sulfatase-like hydrolase/transferase,False
Line 4,lipocalin family protein,False
Line 4,mukb,False
Line 4,sdr family oxidoreductase,False
Line 4,seta,False
Line 4,phage tail sheath protein,False
Line 4,slty,False
Line 4,dnac,False
Line 4,lamb,False
Line 4,autotransporter outer membrane beta-barrel domain-containing protein,False
Line 4,fecb,False
Line 4,garp,False
Line 4,mrcb,False
Line 4,ilvn,False
Line 4,type b 50s ribosomal protein l31,False
Line 4,zape,False
Line 4,duf2755 family protein,False
Line 4,ribd,False
Line 4,yjdn,False
Line 4,is1 family transposase,False
Line 4,isph,False
Line 4,acrd,False
Line 4,carb,True
Line 4,msck,False
Line 4,oppa,False
Line 4,diguanylate cyclase,False
Line 4,cmob,False
Line 4,deoc,False
Line 4,entf,True
Line 4,dedd,False
Line 4,asps,True
Line 4,autotransporter outer membrane beta-barrel domain-containing protein,False
Line 4,dcd,False
Line 4,melb,False
Line 4,nuoc,False
Line 4,recc,False
Line 4,serine dehydratase subunit alpha family protein,False
Line 4,nuof,False
Line 4,pts fructose-like transporter subunit iib,False
Line 4,rhodanese-related sulfurtransferase,False
Line 4,dinf,False
Line 4,mure,True
Line 4,nlpe,False
Line 4,nrff,False
Line 4,tyrs,True
Line 4,ecpe,False
Line 4,nrfa,False
Line 4,nuof,False
Line 4,pepa,False
Line 4,yeee,False
Line 4,menc,False
Line 4,2-hydroxyacyl-coa dehydratase subunit d,False
Line 4,4fe-4s dicluster domain-containing protein,False
Line 4,abc transporter atp-binding protein/permease,False
Line 4,abc transporter substrate-binding protein,False
Line 4,abc transporter substrate-binding protein,False
Line 4,acna,False
Line 4,acrd,False
Line 4,acyltransferase,False
Line 4,adhe,False
Line 4,adia,False
Line 4,aes,False
Line 4,ag43,False
Line 4,ail/lom family outer membrane beta-barrel protein,False
Line 4,alpha-2-macroglobulin family protein,False
Line 4,alr,False
Line 4,amino acid abc transporter substrate-binding protein,False
Line 4,amino acid permease,False
Line 4,appa,False
Line 4,arfb,False
Line 4,arna,False
Line 4,bama,False
Line 4,bara,True
Line 4,bifunctional alpha/beta hydrolase/class i sam-dependent methyltransferase,False
Line 4,bifunctional alpha/beta hydrolase/class i sam-dependent methyltransferase,False
