gene,snp_count
duf2755 family protein,1
ycbx,1
hlde,1
lipocalin family protein,1
fad-dependent oxidoreductase,1
ribd,1
yjdn,1
cysw,1
epd,1
phor,1
restriction endonuclease subunit s,1
atos,1
lola,1
pept,1
mrcb,1
garp,1
mukb,1
seta,1
ansp,1
slty,1
hipa,1
pgmb,1
garl,1
yijd family membrane protein,1
dnac,1
phnj,1
naph,1
dimethyl sulfoxide reductase subunit a,1
adra,1
chez,1
wzzb,1
btud,1
arsb,1
fepc,1
fldb,1
ftse,1
3-(3-hydroxy-phenyl)propionate transporter,1
pyrd,1
rfah,1
rhlb,1
tnab,1
trpb,1
prepilin-type n-terminal cleavage/methylation domain-containing protein,1
ybgi,1
yjcs,1
aded,1
ompg,1
apbc,1
bcr/cfla family multidrug efflux mfs transporter,1
cusr,1
dhal,1
dusc,1
fad-nad(p)-binding protein,1
fimbria/pilus periplasmic chaperone,1
glycoside hydrolase family 10 protein,1
poxb,1
mrdb,1
wcab,1
dnak,1
yfcz/yiis family protein,1
yfdv,1
ygah,1
arca,1
bestrophin family protein,1
biof,1
citx,1
csir,1
fadj,1
moba,1
feob,1
flga,1
hofq,1
hyaa,1
kdsb,1
lapb,1
lhgo,1
lptf,1
idnd,1
iscr,1
ketose-bisphosphate aldolase,1
dmsd,1
amino acid abc transporter substrate-binding protein,1
arfb,1
bama,1
bara,1
capsule biosynthesis gfcc family protein,1
citt,1
dcua,1
deaminated glutathione amidase,1
dosp,1
lbetah domain-containing protein,1
dpal,1
duf1449 family protein,1
duf898 domain-containing protein,1
enoyl-coa hydratase/isomerase family protein,1
fdec,1
fimc,1
fnr,1
folc,1
alr,1
ail/lom family outer membrane beta-barrel protein,1
aes,1
adia,1
ldte,1
lpxp,1
malq,1
melr,1
narw,1
pncb,1
ppx,1
puup,1
sula,1
trmd,1
yebc/pmpr family dna-binding transcriptional regulator,1
yeca,1
ymdb,1
2-hydroxyacyl-coa dehydratase subunit d,1
4fe-4s dicluster domain-containing protein,1
abc transporter atp-binding protein/permease,1
adhe,1
ycho,1
vwa domain-containing protein,1
fuck,1
pfka,1
muth,1
muts,1
nadk,1
norr,1
nusa,1
ompt,1
parb/repb/spo0j family partition protein,1
pdxa,1
plda,1
mdta,1
pmba,1
prox,1
pts system eiic permease component,1
purr,1
reca,1
rhodanese-like domain-containing protein,1
rplc,1
rpob,1
mdtn,1
male,1
udk,1
hemx,1
fuco,1
glrr,1
glucarate dehydratase-related protein,1
glycoside hydrolase family 25 protein,1
gntp,1
gspj,1
gspo,1
gudp,1
hsdm,1
maea,1
hupb,1
hydrolase,1
hyfc,1
hyfg,1
kbaz,1
kbp,1
laci family dna-binding transcriptional regulator,1
lexa,1
skp,1
slyb,1
spec,1
malx,1
dhar,1
