b_number,gene_name,reactions
b3115,tdcD,ACKr|PPAKr
b3124,garK,GLYCK2
b3199,lptC,ACOLIPAabctex|CLIPAabctex|COLIPAPabctex|COLIPAabctex|ECA4COLIPAabctex|ENLIPAabctex|K2L4Aabctex|LIPAabctex|O16A4COLIPAabctex
b3200,lptA,ACOLIPAabctex|CLIPAabctex|COLIPAPabctex|COLIPAabctex|ECA4COLIPAabctex|ENLIPAabctex|K2L4Aabctex|LIPAabctex|O16A4COLIPAabctex
b3201,lptB,ACOLIPAabctex|CLIPAabctex|COLIPAPabctex|COLIPAabctex|ECA4COLIPAabctex|ENLIPAabctex|K2L4Aabctex|LIPAabctex|O16A4COLIPAabctex
b3222,nanK,AMANK
b3255,accB,ACCOAC
b3256,accC,ACCOAC
b3374,frlD,FRULYSK
b3390,aroK,SHKK
b3403,pck,PPCK
b3409,feoB,FE2abcpp
b3437,gntK,GNK
b3450,ugpC,G3PCabcpp|G3PEabcpp|G3PGabcpp|G3PIabcpp|G3PSabcpp|GLYC2Pabcpp|GLYC3Pabcpp
b3451,ugpE,G3PCabcpp|G3PEabcpp|G3PGabcpp|G3PIabcpp|G3PSabcpp|GLYC2Pabcpp|GLYC3Pabcpp
b3452,ugpA,G3PCabcpp|G3PEabcpp|G3PGabcpp|G3PIabcpp|G3PSabcpp|GLYC2Pabcpp|GLYC3Pabcpp
b3453,ugpB,G3PCabcpp|G3PEabcpp|G3PGabcpp|G3PIabcpp|G3PSabcpp|GLYC2Pabcpp|GLYC3Pabcpp
b3454,livF,ALAabcpp|ILEabcpp|LEUabcpp|THRabcpp|VALabcpp
b3455,livG,ALAabcpp|ILEabcpp|LEUabcpp|THRabcpp|VALabcpp
b3456,livM,ALAabcpp|ILEabcpp|LEUabcpp|THRabcpp|VALabcpp
b3457,livH,ALAabcpp|ILEabcpp|LEUabcpp|THRabcpp|VALabcpp
b3458,livK,LEUabcpp
b3460,livJ,ALAabcpp|ILEabcpp|LEUabcpp|THRabcpp|VALabcpp
b3469,zntA,CD2abcpp|COBALT2abcpp|CU2abcpp|HG2abcpp|NI2abcpp|ZN2abcpp
b3476,nikA,NI2uabcpp
b3477,nikB,NI2uabcpp
b3478,nikC,NI2uabcpp
b3479,nikD,NI2uabcpp
b3480,nikE,NI2uabcpp
b3502,arsB,ASO3t8pp
b3526,kdgK,DDGLK
b3540,dppF,ALAALAabcpp|CGLYabcpp|PROGLYabcpp
b3541,dppD,ALAALAabcpp|CGLYabcpp|PROGLYabcpp
b3542,dppC,ALAALAabcpp|CGLYabcpp|PROGLYabcpp
b3543,dppB,ALAALAabcpp|CGLYabcpp|PROGLYabcpp
b3544,dppA,ALAALAabcpp|CGLYabcpp|PROGLYabcpp
b3564,xylB,DXYLK|XYLK
b3566,xylF,XYLabcpp
b3567,xylG,XYLabcpp
b3568,xylH,XYLabcpp
b3580,lyxK,3KGK|XYLK2
b3625,waaY,HEPK2
b3630,waaP,HEPK1
b3648,gmk,DGK1|GK1
b3693,dgoK,DDGALK
b3725,pstB,PIuabcpp
b3726,pstA,PIuabcpp
b3727,pstC,PIuabcpp
b3728,pstS,PIuabcpp
b3731,atpC,ATPS4rpp
b3732,atpD,ATPS4rpp
b3733,atpG,ATPS4rpp
b3734,atpA,ATPS4rpp
b3735,atpH,ATPS4rpp
b3736,atpF,ATPS4rpp
b3737,atpE,ATPS4rpp
b3738,atpB,ATPS4rpp
b3739,atpI,ATPS4rpp
b3748,rbsD,RIBabcpp
b3749,rbsA,RIBabcpp
b3750,rbsC,RIBabcpp
b3751,rbsB,RIBabcpp
b3752,rbsK,RBK
b3870,glnA,GLNS
b3883,yihV,6D6SFK
b3904,rhaB,RMK
b3916,pfkA,PFK|PFK_2|PFK_3
b3917,sbp,MOBDabcpp|SELabcpp|SLNTabcpp|SULabcpp|TSULabcpp
b3926,glpK,GLYK
b3940,metL,ASPK
b3959,argB,ACGK
b3974,coaA,PNTK
b4005,purD,PRAGSr
b4024,lysC,ASPK
b4032,malG,14GLUCANabcpp|MALTHXabcpp|MALTPTabcpp|MALTTRabcpp|MALTTTRabcpp|MALTabcpp
b4033,malF,14GLUCANabcpp|MALTHXabcpp|MALTPTabcpp|MALTTRabcpp|MALTTTRabcpp|MALTabcpp
b4034,malE,14GLUCANabcpp|MALTHXabcpp|MALTPTabcpp|MALTTRabcpp|MALTTTRabcpp|MALTabcpp
b4035,malK,14GLUCANabcpp|MALTHXabcpp|MALTPTabcpp|MALTTRabcpp|MALTTTRabcpp|MALTabcpp
b4042,dgkA,DAGK120|DAGK140|DAGK141|DAGK160|DAGK161|DAGK180|DAGK181
b4069,acs,ACCOAL
b4084,alsK,ALLK
b4086,alsC,ALLabcpp|RIBabcpp
b4087,alsA,ALLabcpp|RIBabcpp
b4088,alsB,ALLabcpp|RIBabcpp
b4094,phnN,R15BPK
b4104,phnE,MEPNabcpp
b4105,phnD,MEPNabcpp
b4106,phnC,MEPNabcpp
b4161,rsgA,NTP1
b4227,ytfQ,GALabcpp|RIBabcpp
b4230,ytfT,GALabcpp|RIBabcpp
b4231,yjfF,GALabcpp|RIBabcpp
b4233,mpl,UM3PL|UM4PL
b4242,mgtA,MG2uabcpp|NI2uabcpp
b4261,lptF,ACOLIPAabctex|CLIPAabctex|COLIPAPabctex|COLIPAabctex|ECA4COLIPAabctex|ENLIPAabctex|K2L4Aabctex|LIPAabctex|O16A4COLIPAabctex
b4262,lptG,ACOLIPAabctex|CLIPAabctex|COLIPAPabctex|COLIPAabctex|ECA4COLIPAabctex|ENLIPAabctex|K2L4Aabctex|LIPAabctex|O16A4COLIPAabctex
b4268,idnK,GNK
b4287,fecE,FE3DCITabcpp
b4288,fecD,FE3DCITabcpp
b4289,fecC,FE3DCITabcpp
b4290,fecB,FE3DCITabcpp
b4460,araH,ARBabcpp
b4485,ytfR,GALabcpp|RIBabcpp
b4513,kdpF,Kabcpp
